ID,Name,Proponent,Project Type,Methodology,Status,Country/Area,Region,Project Registration Date,Sustainable Development Goals
2371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,Multiple Proponents,Energy,,On Hold - see notification letter,Zambia,Africa,,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land
2372,Installation of high efficiency wood burning cookstoves in Malawi - Project 2,Multiple Proponents,Energy,,Verification approval requested,Malawi,Africa,,"02: Zero Hunger; 03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 09: Industry, Innovation and Infrastructure; 13: Climate Action; 15: Life on Land"
2366,Installation of high efficiency wood burning cookstoves in Tanzania,Multiple Proponents,Energy,,Verification approval requested,Tanzania,Africa,,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land
2349,Installation of high efficiency wood burning cookstoves in Kenya,C-Quest Capital SGS Stoves Private Limited,Energy,,Validated,Kenya,Africa,,01: No Poverty; 02: Zero Hunger; 03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land
2350,Installation of high efficiency wood burning cookstoves in Uganda,Multiple Proponents,Energy,,Validated,Uganda,Africa,,01: No Poverty; 02: Zero Hunger; 03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land
2351,Installation of high efficiency wood burning cookstoves in Mozambique,C-Quest Capital SGS Stoves Private Limited,Energy,,Under Development,Mozambique,Africa,,01: No Poverty; 02: Zero Hunger; 03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land
2348,Motion Energy EV Industry Charger Project,Motion Energy Group,Transport,,Undergoing verification,Australia,Oceania,,"03: Good Health and Well-being; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 09: Industry, Innovation and Infrastructure; 11: Sustainable Cities and Communities; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land"
2340,Installation of high efficiency wood burning cookstoves in Zambia,Multiple Proponents,Energy,,On Hold - see notification letter,Zambia,Africa,,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land
2341,Installation of high efficiency wood burning cookstoves in Zimbabwe,C-Quest Capital SGS Stoves Private Limited,Energy,,Undergoing validation,Zimbabwe,Africa,,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land
2342,Installation of high efficiency wood burning cookstoves in Malawi,C-Quest Capital SG Stoves Private Limited,Energy,,Verification approval requested,Malawi,Africa,,"02: Zero Hunger; 03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 09: Industry, Innovation and Infrastructure; 13: Climate Action; 15: Life on Land"
2077,TUIK RUCH LEW IMPROVED COOKSTOVE PROJECT FOR LAKE ATITLAN,Asociacion Tuik Ruch Lew,Energy,,Verified,Guatemala,Latin America,,01: No Poverty; 03: Good Health and Well-being; 05: Gender Equality; 06: Clean Water and Sanitation; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land
1857,Grouped OFF-GRID Renewable Energy Project in India,Multiple Proponents,Energy,,Validated,India,Asia,,07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action
1748,Southern Cardamom REDD+ Project,"Royal Government of Cambodia (RGC), Ministry of Environment",Agriculture Forestry and Other Land Use,,Verification public comment period requested,Cambodia,Asia,,"01: No Poverty; 02: Zero Hunger; 03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 06: Clean Water and Sanitation; 08: Decent Work and Economic Growth; 09: Industry, Innovation and Infrastructure; 10: Reduced Inequalities; 11: Sustainable Cities and Communities; 12: Responsible Consumption and Production; 13: Climate Action; 15: Life on Land; 16: Peace, Justice, and Strong Institutions; 17: Partnerships for the Goals"
607,Darkwoods Forest Carbon Project,Nature Conservancy of Canada,Agriculture Forestry and Other Land Use,,Undergoing verification,Canada,North America,,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land
562,The Kasigau Corridor REDD Project – Phase I Rukinga Sanctuary,Wildlife Works Carbon LLC,Agriculture Forestry and Other Land Use,,Undergoing validation and verification,Kenya,Africa,,"01: No Poverty; 02: Zero Hunger; 03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 06: Clean Water and Sanitation; 08: Decent Work and Economic Growth; 10: Reduced Inequalities; 12: Responsible Consumption and Production; 13: Climate Action; 15: Life on Land; 16: Peace, Justice, and Strong Institutions; 17: Partnerships for the Goals"
1571,Manoa REDD+ Project,Multiple Proponents,Agriculture Forestry and Other Land Use,,Undergoing validation and verification,Brazil,Latin America,,04: Quality Education; 06: Clean Water and Sanitation; 08: Decent Work and Economic Growth; 12: Responsible Consumption and Production; 13: Climate Action; 15: Life on Land; 17: Partnerships for the Goals
1566,REDD+ Project Resguardo Indigena Unificado Selva de Mataven (RIU SM),Multiple Proponents,Agriculture Forestry and Other Land Use,,Undergoing validation and verification,Colombia,Latin America,,"01: No Poverty; 02: Zero Hunger; 03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 06: Clean Water and Sanitation; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 09: Industry, Innovation and Infrastructure; 11: Sustainable Cities and Communities; 13: Climate Action; 15: Life on Land"
612,The Kasigau Corridor REDD Project - Phase II The Community Ranches,Wildlife Works Carbon LLC,Agriculture Forestry and Other Land Use,,Undergoing validation and verification,Kenya,Africa,,"01: No Poverty; 02: Zero Hunger; 03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 06: Clean Water and Sanitation; 08: Decent Work and Economic Growth; 10: Reduced Inequalities; 12: Responsible Consumption and Production; 13: Climate Action; 15: Life on Land; 16: Peace, Justice, and Strong Institutions; 17: Partnerships for the Goals"
674,Rimba Raya Biodiversity Reserve Project,InfiniteEARTH,Agriculture Forestry and Other Land Use,,Verification public comment period requested,Indonesia,Oceania,,"01: No Poverty; 02: Zero Hunger; 03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 06: Clean Water and Sanitation; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 09: Industry, Innovation and Infrastructure; 10: Reduced Inequalities; 11: Sustainable Cities and Communities; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land; 16: Peace, Justice, and Strong Institutions; 17: Partnerships for the Goals"
