ID,Name,Proponent,CCB Project Type,Distinctions,Status,Country/Area,Region,CCB Standard Edition
3395,"Carbon Sink Afforestation Project in Tongyu County, Jilin Province",Forestry Bureau of Tongyu County,"Afforestation, Reforestation and Revegetation",,Validation public comment period expired,China,Asia,CCB Third Edition
3396,PlanTogo,Sequoia Plantation Togo,"Afforestation, Reforestation and Revegetation",Community Gold,Validation public comment period expired,Togo,Africa,CCB Third Edition
3397,Kruger to Canyons Rangeland Restoration Project,Conservation South Africa,Agricultural Land Management,Climate Gold; Community Gold; Biodiversity Gold,Under validation,South Africa,Africa,CCB Third Edition
3370,Ludian County afforestation project in Yunnan Province,Ludian State-owned Forest Farm,"Afforestation, Reforestation and Revegetation",Climate Gold,Validation public comment period expired,China,Asia,CCB Third Edition
3341,Samkos REDD+ Project,"Royal Government of Cambodia (RGC), Ministry of Environment",Reduced Emissions from Deforestation and Degradation,Climate Gold; Biodiversity Gold,Validation and verification public comment period expired,Cambodia,Asia,CCB Third Edition
3343,XiCO2e: Mexican Peninsula Forest Project,FORLIANCE GmbH,Improved Forest Management,,Project withdrawn,Mexico,Latin America,CCB Third Edition
3344,The Last Habitat REDD+ project,Bosques Amazonicos,Reduced Emissions from Deforestation and Degradation,,Under validation and verification,Peru,Latin America,CCB Third Edition
3334,MARAJÓ REDD+ Project,Para Redd Projects Limited,Reduced Emissions from Deforestation and Degradation,Climate Gold; Community Gold; Biodiversity Gold,Validation public comment period expired,Brazil,Latin America,CCB Third Edition
3336,Eastern Yan’an Afforestation Project,National Forestry and Grassland Administration Northwest Investigation and Planning Institute,"Afforestation, Reforestation and Revegetation",,Project withdrawn,China,Asia,CCB Third Edition
3337,Central Yan’an Afforestation Project,National Forestry and Grassland Administration Northwest Investigation and Planning Institute,"Afforestation, Reforestation and Revegetation",,Project withdrawn,China,Asia,CCB Third Edition
3338,Yan’an Wuqi Afforestation Project,National Forestry and Grassland Administration Northwest Investigation and Planning Institute,"Afforestation, Reforestation and Revegetation",,Project withdrawn,China,Asia,CCB Third Edition
3339,Yan’an Aerial Seeding Afforestation Project,National Forestry and Grassland Administration Northwest Investigation and Planning Institute,"Afforestation, Reforestation and Revegetation",,Project withdrawn,China,Asia,CCB Third Edition
3324,Ipoá REDD+ Project,Multiple Proponents,Reduced Emissions from Deforestation and Degradation,Community Gold,Under validation,Brazil,Latin America,CCB Third Edition
3318,Heilongjiang Nehe Afforestation Project,"Nehe Hansenyuan Forestry Investment Co., Ltd","Afforestation, Reforestation and Revegetation",,Validation public comment period expired,China,Asia,CCB First Edition
3319,Tibet Ngari Improved Grassland Management Project,National Forestry and Grassland Administration Northwest Investigation and Planning Institute,Agricultural Land Management,,Validation approved,China,Asia,CCB Third Edition
3299,Grouped Project Serra do Sudeste,The Green Branch,"Afforestation, Reforestation and Revegetation",Gold,Validation approved,Brazil,Latin America,CCB Third Edition
3294,Muskitia Pâsa Klîn Nâka sa,Fundacion Ayuda en Acción,Reduced Emissions from Deforestation and Degradation,,Validation approval request denied,Honduras,Latin America,CCB Third Edition
3280,Carpathia Forest Carbon Project,Fundatia Conservation Carpathia,Improved Forest Management,Climate Gold; Community Gold; Biodiversity Gold,Under validation,Romania,Europe,CCB Third Edition
3241,Guangdong Huidong Afforestation Project,"Juno Carbon Investment & Environmental Technology (Beijing) Co., Ltd.","Afforestation, Reforestation and Revegetation",Gold,Project withdrawn,China,Asia,CCB Third Edition
3226,Padang Tikar Landscape,Multiple Proponents,Reduced Emissions from Deforestation and Degradation,,Validation public comment period expired,Indonesia,Asia,CCB First Edition
3210,Bajo Atrato REDD+ Project,Multiple Proponents,Reduced Emissions from Deforestation and Degradation,Climate Gold; Community Gold,Under validation and verification,Colombia,Latin America,CCB Third Edition
3215,ASATIQ Vaupés Maloca REDD+ Project,Association of Traditional Indigenous Authorities of Querarí (ASATIQ),Reduced Emissions from Deforestation and Degradation,Climate Gold; Community Gold,Under validation and verification,Colombia,Latin America,CCB Third Edition
3216,ASATRIZY Vaupés Maloca REDD+ Project,Association of Traditional Indigenous Authorities of the Yapú Zone (ASATRIZY),Reduced Emissions from Deforestation and Degradation,Climate Gold; Community Gold,Under validation and verification,Colombia,Latin America,CCB Third Edition
3218,Origen Atrato-Baudó REDD+ Project,Multiple Proponents,Reduced Emissions from Deforestation and Degradation,Climate Gold; Community Gold,Under validation and verification,Colombia,Latin America,CCB Third Edition
3203,Yunnan Yulong Afforestation Project,"Yulong State Owned Capital Investment and Operation Co., Ltd.","Afforestation, Reforestation and Revegetation",,Validation and verification approval request denied,China,Asia,CCB Third Edition
3196,Paracel ARR Carbon Forestry Project,PARACEL SA,"Afforestation, Reforestation and Revegetation",,Validation public comment period expired,Paraguay,Latin America,CCB Third Edition
3179,Conservation and restoration of the tropical dry forest of the north coast of Peru,Asociación para la Investigación y Desarrollo Integral – AIDER,Reduced Emissions from Deforestation and Degradation,Community Gold; Biodiversity Gold,Under Verification,Peru,Latin America,CCB Third Edition
3166,ReforesTerra Grouped Project,ReforesTerra – Restauração de Ecossistemas Florestais Ltda,"Afforestation, Reforestation and Revegetation",,Under validation,Brazil,Latin America,CCB Third Edition
3155,NIGER DELTA MANGROVE PROJECT,everi GmbH,"Afforestation, Reforestation and Revegetation",Gold,Validation approved,Nigeria,,CCB Third Edition
3145,Proyecto REDD++ PANI,Multiple Proponents,Reduced Emissions from Deforestation and Degradation,Community Gold; Biodiversity Gold,Validation and verification public comment period expired,Colombia,Latin America,CCB Third Edition
3140,ZhaoQu Afforestation Project,"Yunnan Ruihan Agricultural Technology Development Co., Ltd.","Afforestation, Reforestation and Revegetation",,Verification public comment period expired,China,Asia,CCB Third Edition
3141,Western Amazon REDD+ Grouped Project,CARBON CREDITS CONSULTING S.R.L.,Reduced Emissions from Deforestation and Degradation,Biodiversity Gold,Under validation and verification,Brazil,Latin America,CCB Third Edition
3055,Itaúba REDD+ Project,Multiple Proponents,Reduced Emissions from Deforestation and Degradation,,Verification public comment period expired,Brazil,Latin America,CCB Third Edition
3048,Keyue Adjusted Water Management in Rice Cultivation,"Hangzhou Chunmeng Agricultural Technology Co., Ltd",Agricultural Land Management,,Verification public comment period expired,China,Asia,CCB Third Edition
3024,Puwangzi Afforestation Project,"Guizhou Yuanda Carbon Forestry Development Co., Ltd","Afforestation, Reforestation and Revegetation",,Project withdrawn,China,Asia,CCB Third Edition
3002,Hiwi REDD+ Project,Multiple Proponents,Reduced Emissions from Deforestation and Degradation,,Under Verification,Brazil,Latin America,CCB Third Edition
2980,Feijó REDD+ Project,Multiple Proponents,Reduced Emissions from Deforestation and Degradation,Climate Gold; Community Gold,Under validation,Brazil,Latin America,CCB Third Edition
2931,Grassland Restoration and Stewardship in South Africa (GRASS),Multiple Proponents,Agricultural Land Management,,Under validation and verification,South Africa,Africa,CCB Third Edition
2928,North Bandai Bamboo Reforestation Project,"EcoPlanet Bamboo Group, LLC","Afforestation, Reforestation and Revegetation",Climate Gold; Community Gold,Under validation,Ghana,Africa,CCB Third Edition
2926,Afforestation Project,Multiple Proponents,"Afforestation, Reforestation and Revegetation",Climate Gold; Community Gold; Biodiversity Gold,Project withdrawn,China,Asia,CCB Third Edition
2921,Jilin Baishishan Afforestation Project,"Jilin Forest Industry Environmental Technology Co., Ltd.","Afforestation, Reforestation and Revegetation",Gold,Validation approval request denied,China,Asia,CCB Third Edition
2920,Rayaka Prana  REDD+ Müskitia Hondureña,Multiple Proponents,Reduced Emissions from Deforestation and Degradation,Climate Gold; Community Gold,Project withdrawn,Honduras,Latin America,CCB Third Edition
2914,BONOS LAGUNA SÍJIL NOH-HÁ,Ban.CO2 de Carbono Mestizo,Improved Forest Management,,Project withdrawn,Mexico,Latin America,CCB Third Edition
2893,Liaoyuan Afforestation Project,Envision Energy Co. Ltd,"Afforestation, Reforestation and Revegetation",,Validation public comment period expired,China,Asia,CCB Third Edition
2884,Gansu Zhangye Grouped Afforestation Project,Zhangye Academy of Forestry Sciences,"Afforestation, Reforestation and Revegetation",,Verification public comment period expired,China,Asia,CCB Third Edition
2878,Rio Madeira Grouped REDD+ Project,Future Carbon International LLC,Reduced Emissions from Deforestation and Degradation,,Under Verification,Brazil,Latin America,CCB Third Edition
2872,CRIMA PREDIO PUTUMAYO Y ANDOQUE DE ADUCHE REDD+  PROJECT,Multiple Proponents,Reduced Emissions from Deforestation and Degradation,Gold,Project withdrawn,Colombia,Latin America,CCB Third Edition
2852,Xinjiang Burqin Improved Grassland Management Project,Burqin Jinhua Urban Construction and Investment Co.Ltd.,Agricultural Land Management,,Verification approved,China,Asia,CCB Third Edition
2791,CONSERVATION OF NATIVE FOREST IN THE BIODIVERSITY HOTSPOT OF PAPUA NEW GUINEA,WeAct Pty Ltd.,Reduced Emissions from Deforestation and Degradation,,Under validation and verification,Papua New Guinea,Oceania,CCB Third Edition
2748,Zhangye Improved Grassland Management Project,Zhangye Academy of Forestry Sciences,Agricultural Land Management,,Verification approved,China,Asia,CCB Third Edition
2743,Guizhou Xingren Afforestation Project,Xingren Lishuping State owned Forest Farm,"Afforestation, Reforestation and Revegetation",,Validation public comment period expired,China,Asia,CCB First Edition
2745,Wuwei City Afforestation Project in Gansu Province,Multiple Proponents,"Afforestation, Reforestation and Revegetation",,Verification approved,China,Asia,CCB Third Edition
2733,Yunnan shizong Afforestation Project,Multiple Proponents,"Afforestation, Reforestation and Revegetation",,Validation public comment period expired,China,Asia,CCB First Edition
2723,CONDOTO REDD+,Multiple Proponents,Reduced Emissions from Deforestation and Degradation,Community Gold,Verification approved,Colombia,Latin America,CCB Third Edition
2652,HENAN YIYANG AFFORESTATION PROJECT,"Guizhou Qianhe Carbon Technology Co., Ltd","Afforestation, Reforestation and Revegetation",,Verification approved,China,Asia,CCB Third Edition
2651,HENAN SONGXIAN AFFORESTATION PROJECT,"Guizhou Qianhe Carbon Technology Co., Ltd","Afforestation, Reforestation and Revegetation",,Project withdrawn,China,Asia,CCB Third Edition
2647,Reforestation grouped project Norteak Nicaragua,Norteak Nicaragua S.A.,"Afforestation, Reforestation and Revegetation",Climate Gold,Under validation and verification,Nicaragua,Latin America,CCB Third Edition
2623,Komaza Smallholder Farmer Forestry Kenya,Komaza Group Inc.,"Afforestation, Reforestation and Revegetation",Climate Gold; Community Gold; Biodiversity Gold,Verification approved,Kenya,Africa,CCB Third Edition
2620,Ribeirinho REDD+ Project,Multiple Proponents,Reduced Emissions from Deforestation and Degradation,,Validation and verification approval request denied,Brazil,Latin America,CCB Third Edition
2611,CORAZÓN VERDE DEL CHACO PROJECT,Quadriz Paraguay S.A.,Reduced Emissions from Deforestation and Degradation,Biodiversity Gold,Verification approved,Paraguay,Latin America,CCB Third Edition
2609,KUAMUT RAINFOREST CONSERVATION PROJECT,Permian Malaysia SDN. BHD,Reduced Emissions from Deforestation and Degradation,Climate Gold,Under Verification,Malaysia,Asia,CCB Third Edition
2566,The Serra do Amolar REDD+ Project,Instituto Homem Pantaneiro,Reduced Emissions from Deforestation and Degradation,Biodiversity Gold,Verification approved,Brazil,Latin America,CCB Third Edition
2565,Yunnan Qiubei Afforestation Project,Multiple Proponents,"Afforestation, Reforestation and Revegetation",,Verification approved,China,Asia,CCB Third Edition
2558,ABC Norte REDD Project,Multiple Proponents,Reduced Emissions from Deforestation and Degradation,,Under Verification,Brazil,Latin America,CCB Third Edition
2556,Southern Paraguay Sustainable Afforestation Project,SAIFF Hold Co. Ltd.,"Afforestation, Reforestation and Revegetation",,Under validation and verification,Paraguay,Latin America,CCB Third Edition
2551,BRAZILIAN AMAZON APD GROUPED PROJECT,BRCARBON SERVICOS AMBIENTAIS LTDA,Reduced Emissions from Deforestation and Degradation,Biodiversity Gold,Verification approved,Brazil,Latin America,CCB Third Edition
2539,EVERGREEN REDD+ PROJECT,Multiple Proponents,Reduced Emissions from Deforestation and Degradation,Climate Gold; Community Gold; Biodiversity Gold,On Hold - see notification letter,Brazil,Latin America,CCB Third Edition
2538,Pendjari and W-Benin National Parks REDD+ Project,African Parks Benin (A Branch of African Parks Network),Reduced Emissions from Deforestation and Degradation,Climate Gold; Biodiversity Gold,Verification approved,Benin,Africa,CCB Third Edition
2512,"AFFORESTATION OF DEGRADED GRASSLANDS IN VICHADA, COLOMBIA",Forest First Colombia S.A.S.,"Afforestation, Reforestation and Revegetation",,Verification approval requested ,Colombia,Latin America,CCB Third Edition
2510,"CHINKO CONSERVATION AREA REDD+ PROJECT, CENTRAL AFRICAN REPUBLIC",African Parks RCA,Reduced Emissions from Deforestation and Degradation,Climate Gold; Biodiversity Gold,Verification approved,Central African Republic,Africa,CCB Third Edition
2502,TAHUAMANU AMAZON REDD PROJECT,MADERERA RIO ACRE SAC,Reduced Emissions from Deforestation and Degradation,Biodiversity Gold,Verification approval requested ,Peru,Latin America,CCB Third Edition
2496,IMPACT REFORESTATION IN THE CHACO PROJECT,Investancia Paraguay S.A.,"Afforestation, Reforestation and Revegetation",,Under validation,Paraguay,Latin America,CCB Third Edition
2497,"TIST Program in Uganda, VCS-CCB 011",Clean Air Action Corporation,"Afforestation, Reforestation and Revegetation",Climate Gold; Community Gold; Biodiversity Gold,Verification approved,Uganda,Africa,CCB Third Edition
2483,PNG Communities BEST REDD - Tavolo Project,FORCERT Limited,Reduced Emissions from Deforestation and Degradation,Climate Gold; Community Gold; Biodiversity Gold,Under validation and verification,Papua New Guinea,Oceania,CCB Third Edition
2480,Lumin/Eucapine Forest Plantations on degraded grasslands under extensive grazing,EUCAPINE S.R.L,"Afforestation, Reforestation and Revegetation",,Project withdrawn,Uruguay,Latin America,CCB Third Edition
2481,Generation Forest Group Project,Fundacion Bosque De Generaciones,"Afforestation, Reforestation and Revegetation",,Verification approved,Panama,Latin America,CCB Third Edition
2472,Conservation and Sustainable Management of the Ukumari Cloud Forest,SERVICIOS AMBIENTALES RAINFOREST DEL ECUADOR S.A.,Reduced Emissions from Deforestation and Degradation,Climate Gold; Community Gold; Biodiversity Gold,Rejected by Administrator,Ecuador,Latin America,CCB Third Edition
2465,Avoided Conversion Cerrado,ERA Assessoria e Projetos Ambientais e Agricolas Ltd.,Avoided Conversion of Grasslands and Shrublands,,Under validation and verification,Brazil,Latin America,CCB Third Edition
2458,Guoluo Grassland Sustainable Management Project,"Qinghai Guanglv Landscaping Co., Ltd.",Avoided Conversion of Grasslands and Shrublands,Biodiversity Gold,Verification approved,China,Asia,CCB Third Edition
2451,Shanxi Loufan Afforestation Project,Loufan County Forestry Workstation,"Afforestation, Reforestation and Revegetation",,Verification approved,China,Asia,CCB Third Edition
2420,Zhangjiakou Zhuolu County 2017 Afforestation Project,"Zhangjiakou Sailin Landscaping Co., Ltd.","Afforestation, Reforestation and Revegetation",,Rejected by Administrator,China,Asia,CCB Third Edition
2418,Gansu Lanzhou Afforestation Project,Lanzhou Landscaping And Greening Service Center,"Afforestation, Reforestation and Revegetation",,Verification approved,China,Asia,CCB Third Edition
2413,Zhangjiakou Zhangbei County 2017 Afforestation Project,"Zhangjiakou Sailin Landscaping Co., Ltd.","Afforestation, Reforestation and Revegetation",,Validation approved,China,Asia,CCB Third Edition
2412,Mindanao Tree Planting Program for our Climate and Communities (MinTrees),Multiple Proponents,"Afforestation, Reforestation and Revegetation",Climate Gold; Community Gold; Biodiversity Gold,Verification public comment period requested ,Philippines,Asia,CCB Third Edition
2411,Bosques del Uruguay II (BDU II) Afforestation through High Quality Timber in Grasslands Project,AGRO EMPRESA FORESTAL SA,"Afforestation, Reforestation and Revegetation",,Under validation and verification,Uruguay,Latin America,CCB Third Edition
2408,Baoxing Afforestation Project,Sichuan Jiajinshan Forestry Bureau,"Afforestation, Reforestation and Revegetation",,Verification approval request denied,China,Asia,CCB Third Edition
2405,Gansu Dingxi Afforestation Project,Dingxi City Chankou Forestry Proving Ground,"Afforestation, Reforestation and Revegetation",,Verification approved,China,Asia,CCB Third Edition
2391,Gansu Tianshui Afforestation Project,Tianshui Forestry Science Institute,"Afforestation, Reforestation and Revegetation",,Under Verification,China,Asia,CCB Third Edition
2387,Liugui Afforestation Project,"Guangxi Baixin Agricultural Technology Co., Ltd.","Afforestation, Reforestation and Revegetation",,Project withdrawn,China,Asia,CCB Third Edition
2378,Miaoling Afforestation Project,"Guizhou Xinzhanxin Agricultural Technology Co., Ltd.","Afforestation, Reforestation and Revegetation",,Project withdrawn,China,Asia,CCB Third Edition
2379,Huadu Afforestation Project,"Guizhou Xinzhanxin Agricultural Technology Co., Ltd.","Afforestation, Reforestation and Revegetation",,Project withdrawn,China,Asia,CCB Third Edition
2376,Jilin Lushuihe Afforestation Project,"Jilin Forest Industry Environmental Technology Co., Ltd.","Afforestation, Reforestation and Revegetation",Gold,Validation approval request denied,China,Asia,CCB Third Edition
2377,Jilin Wangou Afforestation Project,"Jilin Forest Industry Environmental Technology Co., Ltd.","Afforestation, Reforestation and Revegetation",Gold,Validation approval request denied,China,Asia,CCB Third Edition
2374,Jilin Quanyang Afforestation Project,"Jilin Forest Industry Environmental Technology Co., Ltd.","Afforestation, Reforestation and Revegetation",,Suspended,China,Asia,CCB Third Edition
2375,Jilin Sanchazi Afforestation Project,"Jilin Forest Industry Environmental Technology Co., Ltd.","Afforestation, Reforestation and Revegetation",,Verification approved,China,Asia,CCB Third Edition
2370,Zhangye City Afforestation Project in Gansu Province,Zhangye Academy of Forestry Sciences,"Afforestation, Reforestation and Revegetation",,Verification approved,China,Asia,CCB Third Edition
2356,REDD+ CONSERVATION OF ETHNO SUSTAINABLE AFRO-COLOMBIAN COMMUNITY IN THE TROPICAL RAIN FOREST OF COLOMBIA,WeAct Pty Ltd.,Reduced Emissions from Deforestation and Degradation,,Under validation and verification,Colombia,Latin America,CCB Third Edition
2345,Green Gold Loreto 1,Green Gold Forestry Peru SA,Improved Forest Management,Climate Gold; Community Gold; Biodiversity Gold,Validation approved,Peru,Latin America,CCB Third Edition
2343,Zhanjiang Mangrove Afforestation Project,"Third Institute of Oceanography, Ministry of Natural Resources","Afforestation, Reforestation and Revegetation",Biodiversity Gold,Verification approved,China,Asia,CCB Third Edition
2338,"TIST Program in Kenya, VCS-CCB 010",Clean Air Action Corporation,"Afforestation, Reforestation and Revegetation",Climate Gold; Community Gold; Biodiversity Gold,Verification approved,Kenya,Africa,CCB Third Edition
2339,"TIST Program in Uganda, VCS-CCB 010",Clean Air Action Corporation,"Afforestation, Reforestation and Revegetation",Climate Gold; Community Gold; Biodiversity Gold,Verification approved,Uganda,Africa,CCB Third Edition
2330,Protection of mangroves and community developmental activities in the biodiversity hotspot of Colombia,WeAct Pty Ltd.,Reduced Emissions from Deforestation and Degradation,,Under validation and verification,Colombia,Latin America,CCB Third Edition
2328,Katingan Peatland  Restoration and Conservation Project,PT. Rimba Makmur Utama (PT. RMU),Reduced Emissions from Deforestation and Degradation,Gold,Project withdrawn,Indonesia,Asia,CCB Third Edition
2321,Ola Hou – Restoring Hawaii’s Native Forests,State of Hawaii Department of Land and Natural Resources Division of Forestry and Wildlife,"Afforestation, Reforestation and Revegetation",Biodiversity Gold,Under validation,United States,North America,CCB Third Edition
2320,National REDD+ Project in the Democratic Republic of Congo,Kanaka Management Services Pvt. Ltd,Reduced Emissions from Deforestation and Degradation,Climate Gold; Community Gold; Biodiversity Gold,Rejected by Administrator,"Congo, The Democratic Republic of The",Africa,CCB Third Edition
2310,Anhuang Afforestation Project,"Guizhou Xinzhanxin Agricultural Technology Co., Ltd.","Afforestation, Reforestation and Revegetation",,Project withdrawn,China,Asia,CCB Third Edition
2305,Zhangjiakou Yuxian Afforestation Project in Hebei Province,"Zhangjiakou Sailin Landscaping Co., Ltd.","Afforestation, Reforestation and Revegetation",,Validation public comment period expired,China,Asia,CCB Third Edition
2301,Zhangjiakou Chongli Afforestation Project in Hebei Province,"Zhangjiakou Sailin Landscaping Co., Ltd.","Afforestation, Reforestation and Revegetation",Gold,Validation public comment period expired,China,Asia,CCB Third Edition
2297,REDD+ Project Pueblos indígenas resguardando la selva,Multiple Proponents,Reduced Emissions from Deforestation and Degradation,Community Gold; Biodiversity Gold,Under validation and verification,Colombia,Latin America,CCB Third Edition
2293,NIHT Topaiyo REDD +,NIHT Inc.,Reduced Emissions from Deforestation and Degradation,,Validation public comment period expired,Papua New Guinea,Oceania,CCB Third Edition
2290,BLUE CARBON PROJECT GULF OF MORROSQUILLO “VIDA MANGLAR”,Conservation International Foundation,Reduced Emissions from Deforestation and Degradation,Community Gold; Biodiversity Gold,Verification approved,Colombia,Latin America,CCB Third Edition
2278,The Jaguar Amazon REDD+ Project,Multiple Proponents,Reduced Emissions from Deforestation and Degradation,Biodiversity Gold,Verification approval requested ,Peru,Latin America,CCB Third Edition
2252,Rio Anapu-Pacaja REDD Project,Brazil AgFor LLC,Reduced Emissions from Deforestation and Degradation,,On Hold - see notification letter,Brazil,Latin America,CCB First Edition
2087,Chudu Afforestation Project,"Xichuan Rongda Agriculture and Forestry Co., Ltd","Afforestation, Reforestation and Revegetation",,Verification approval requested ,China,Asia,CCB Third Edition
2083,Liangdu Afforestation Project,"Guizhou Xinzhanxin Agricultural Technology Co., Ltd.","Afforestation, Reforestation and Revegetation",,Verification public comment period expired,China,Asia,CCB Third Edition
2084,"CONSERVATION PROJECT REDD+ SUR DEL META BOSQUES DE PAZ, SUSTENTO DE VIDA",ALLCOT AG,Reduced Emissions from Deforestation and Degradation,,Validation public comment period expired,Colombia,Latin America,CCB Third Edition
2250,Delta Blue Carbon – 1,Multiple Proponents,"Afforestation, Reforestation and Revegetation",Climate Gold; Community Gold; Biodiversity Gold,Verification approved,Pakistan,Asia,CCB Third Edition
2082,Qianbei Afforestation Project,"Guizhou Xinzhanxin Agricultural Technology Co., Ltd.","Afforestation, Reforestation and Revegetation",,Project withdrawn,China,Asia,CCB Third Edition
2249,HENAN FANGCHENG AND TANGHE AFFORESTATION PROJECT,"Beijing Qianyuhui Environmental Technology Co., Ltd.","Afforestation, Reforestation and Revegetation",,Under validation and verification,China,Asia,CCB Third Edition
2070,Guinan Afforestation Project,"Guizhou Baiheng Fertiliser Co., Ltd","Afforestation, Reforestation and Revegetation",,Verification public comment period expired,China,Asia,CCB Third Edition
1969,Carbono Verde AR Project,Amazon Reforestation Consortium.,"Afforestation, Reforestation and Revegetation",Silver,Verification public comment period expired,Brazil,Latin America,CCB Third Edition
1953,Floresta Verde REDD+ Project,Floresta Verde Serviços Ltda.,Reduced Emissions from Deforestation and Degradation,Climate Gold,Verification public comment period expired,Brazil,Latin America,CCB Third Edition
1935,Hubei Hongshan IFM (Conversion of Logged to Protected Forest) Project,"Zhejiang Zhongzheng Forestry Development Co.,Ltd",Improved Forest Management,,Under Verification,China,Asia,CCB Third Edition
1900,Makame Savannah REDD,Carbon Tanzania,Reduced Emissions from Deforestation and Degradation,Climate Gold; Community Gold; Biodiversity Gold,Verification approved,Tanzania,Africa,CCB Third Edition
1899,Sumatra Merang Peatland Project (SMPP),Multiple Proponents,Wetland Rewetting and Conservation,Climate Gold; Biodiversity Gold,Under Verification,Indonesia,Asia,CCB Third Edition
1897,Ntakata Mountains REDD,Carbon Tanzania,Reduced Emissions from Deforestation and Degradation,Climate Gold; Community Gold; Biodiversity Gold,Under validation and verification,Tanzania,Africa,CCB Third Edition
1895,Jilin Linjiang Afforestation Project,"Jilin Forest Industry Environmental Technology Co., Ltd.","Afforestation, Reforestation and Revegetation",,Verification approval requested ,China,Asia,CCB Third Edition
1896,Hunan Northern and Northwestern Area Afforestation Project,"Jilin Forest Industry Environmental Technology Co., Ltd.","Afforestation, Reforestation and Revegetation",Gold,Verification public comment period expired,China,Asia,CCB Third Edition
1882,REDD+ PROJECT IN THE ALTO HUAYABAMBA CONSERVATION CONCESSION (CCAH),Asociacion Amazonicos por la Amazonía,Reduced Emissions from Deforestation and Degradation,Community Gold; Biodiversity Gold,Under Verification,Peru,Latin America,CCB Second Edition
1866,XinJiang Makit County Afforestation Carbon Sequestration Project,"Makit Base Junlian Cotton Industry Co., Ltd.","Afforestation, Reforestation and Revegetation",Gold,Verification approved,China,Asia,CCB Third Edition
1864,Puzhen Afforestation Project in Guizhou Province,"Guizhou Baiheng Fertiliser Co., Ltd","Afforestation, Reforestation and Revegetation",Gold,Verification approval request denied,China,Asia,CCB Third Edition
1865,Xiguan Afforestation Project in Guizhou Province,"Guizhou Baiheng Fertiliser Co., Ltd","Afforestation, Reforestation and Revegetation",,Verification approval request denied,China,Asia,CCB Third Edition
1855,Hechu Afforestation Project in Anhui Province,"Hefei Zhuoya Landscaping Engineering Co., Ltd.","Afforestation, Reforestation and Revegetation",,Verification public comment period expired,China,Asia,CCB Third Edition
1848,"Korea - Myanmar Joint - Bago Region REDD+ Program, with North Zamari Wildlife Sanctuary",Multiple Proponents,Reduced Emissions from Deforestation and Degradation,,Under validation,Myanmar,Asia,CCB Third Edition
1847,Qianxinan Afforestation Project in Guizhou Province,"Guizhou Baiheng Fertiliser Co., Ltd","Afforestation, Reforestation and Revegetation",,Verification approval request denied,China,Asia,CCB Third Edition
1832,Haidong Afforestation Project,"Qinghai Forestry Ecological Construction and Investment Co., Ltd.","Afforestation, Reforestation and Revegetation",Gold,Verification public comment period expired,China,Asia,CCB Third Edition
1825,Afforestation Project in Xining City,"Qinghai Forestry Ecological Construction and Investment Co., Ltd.","Afforestation, Reforestation and Revegetation",Gold,Verification public comment period expired,China,Asia,CCB Third Edition
1826,Qinghai Afforestation Project,"Qinghai Forestry Ecological Construction and Investment Co., Ltd.","Afforestation, Reforestation and Revegetation",Gold,Verification public comment period expired,China,Asia,CCB Third Edition
1821,Conservación de los Ecosistemas y el Almacén de Carbono Región de Transición Guayano Amazónica 'Flor de Inírida',Ciprogress Greenlife,Reduced Emissions from Deforestation and Degradation,,Project withdrawn,Colombia,Latin America,CCB Third Edition
1811,Jari/Pará REDD+ Project,Multiple Proponents,Reduced Emissions from Deforestation and Degradation,Climate Gold; Biodiversity Gold,On Hold - see notification letter,Brazil,Latin America,CCB Third Edition
1806,Riscales REDD+ Project,Consejo Comunitario General Los Riscales.,Reduced Emissions from Deforestation and Degradation,,Validation public comment period expired,Colombia,Latin America,CCB Third Edition
1799,"Forest Management to mitigate climate change in the native community of Bélgica, Madre de Dios Region – Peru",Multiple Proponents,Reduced Emissions from Deforestation and Degradation,Climate Gold; Community Gold; Biodiversity Gold,Verification approval requested ,Peru,Latin America,CCB Third Edition
1785,PROJECT REDD+ OF THE ALTO HUAYABAMBA CONSERVATION CONCESSION – CCAH,Asociación Amazónicos por la Amazonía – AMPA,Reduced Emissions from Deforestation and Degradation,Community Gold; Biodiversity Gold,Project withdrawn,Peru,Latin America,CCB Second Edition
1775,Luangwa Community Forests Project,Multiple Proponents,Reduced Emissions from Deforestation and Degradation,Climate Gold; Community Gold; Biodiversity Gold,Verification approved,Zambia,Africa,CCB Third Edition
1769,"Grouped Project for restoration of degraded lands in Jaguar Corridors, Colombia",Multiple Proponents,"Afforestation, Reforestation and Revegetation",Biodiversity Gold,Verification approved,Colombia,Latin America,CCB Third Edition
1765,Grouped Project for reducing emissions from deforestation and forest degradation-REDD-in the Regional Natural Park:Biological Corridor PNN Purace-PNN Cueva de los Guacharos,Corporación Autónoma Regional del Río Grande de la Magdalena (CORMAGDALENA),Reduced Emissions from Deforestation and Degradation,Climate Gold; Community Gold; Biodiversity Gold,Under Verification,Colombia,Latin America,CCB Third Edition
1748,Southern Cardamom REDD+ Project,"Royal Government of Cambodia (RGC), Ministry of Environment",Reduced Emissions from Deforestation and Degradation,Climate Gold; Biodiversity Gold,Verification public comment period requested ,Cambodia,Asia,CCB Third Edition
1743,Beampingaratsy REDD Project,BNC REDD+,Reduced Emissions from Deforestation and Degradation,Biodiversity Gold,Validation public comment period expired,Madagascar,Africa,CCB Third Edition
